"","X","stemdj","DBHt","Height","Volume","AnincreD","AvincreD","AnincreH","AvincreH","AnincreV","AvincreV"
"1","0",0,0,0,0,0,0,0,0,0,0
"2","Dnobark9",2,0,0.839,0,0,0,0.419,0.419,0,0
"3","Dnobark8",4,2.093,2.2,0.001,1.046,0.523,0.681,0.55,0.001,0
"4","Dnobark7",6,5.134,4.787,0.008,1.52,0.856,1.294,0.798,0.003,0.001
"5","Dnobark6",8,6.111,6.72,0.011,0.489,0.764,0.966,0.84,0.002,0.001
"6","Dnobark5",10,7.197,8.826,0.017,0.543,0.72,1.053,0.883,0.003,0.002
"7","Dnobark4",12,8.392,10.908,0.027,0.597,0.699,1.041,0.909,0.005,0.002
"8","Dnobark3",14,9.043,11.333,0.034,0.326,0.646,0.213,0.81,0.003,0.002
"9","Dnobark2",16,9.586,12.446,0.04,0.272,0.599,0.556,0.778,0.003,0.002
"10","Dnobark1",18,9.695,12.467,0.044,0.054,0.539,0.01,0.693,0.002,0.002
"11","Dnobark0",20,10.347,12.6,0.052,0.326,0.517,0.067,0.63,0.004,0.003
