"","No","Treeno","TreeTH","stemheight","stemage","Dwithbark","Dnobark0","Dnobark1","Dnobark2","Dnobark3","Dnobark4","Dnobark5","Dnobark6","Dnobark7","Dnobark8","Dnobark9","Dnobark10","Dnobark11"
"1",1,1,9,0,7,13.6,12.3,11.1,8.3,6.4,3.7,1.2,0.4,0,0,0,0,0
"2",2,1,9,0.5,6,11.2,10.5,9.1,7.1,5.4,2.8,0.6,0,0,0,0,0,0
"3",3,1,9,1.3,5,10,9.6,8,6.1,4.4,1.7,0,0,0,0,0,0,0
"4",4,1,9,1.5,5,10,9.3,7.8,5.8,3.9,1.4,0,0,0,0,0,0,0
"5",5,1,9,2.5,4,8.8,8.2,6.7,4.6,2.4,0,0,0,0,0,0,0,0
"6",6,1,9,3.5,4,7.9,7.4,5.7,3.4,1.2,0,0,0,0,0,0,0,0
"7",7,1,9,4.5,3,6.5,6,4.5,2.2,0,0,0,0,0,0,0,0,0
"8",8,1,9,5.5,3,5.8,5.2,3.6,1.4,0,0,0,0,0,0,0,0,0
"9",9,1,9,6.5,2,4.4,4,2.1,0,0,0,0,0,0,0,0,0,0
"10",10,1,9,7.5,2,3.1,2.8,0.7,0,0,0,0,0,0,0,0,0,0
"11",11,1,9,8.5,1,1.6,1.4,0,0,0,0,0,0,0,0,0,0,0
"12",12,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,2,7.3,0,8,10.4,9.4,8.1,6.9,5.5,3.5,2.2,1.6,0.4,0,0,0,0
"14",14,2,7.3,0.5,6,8.4,7.7,6.7,5.6,4.2,2.4,0.8,0,0,0,0,0,0
"15",15,2,7.3,1.3,5,7.5,6.9,5.7,4.4,2.9,1.1,0,0,0,0,0,0,0
"16",16,2,7.3,1.5,5,7.2,6.6,5.4,4,2.5,0.8,0,0,0,0,0,0,0
"17",17,2,7.3,2.5,4,6.3,5.9,4.2,2.9,1.2,0,0,0,0,0,0,0,0
"18",18,2,7.3,3.5,3,5.3,4.9,3.4,1.7,0,0,0,0,0,0,0,0,0
"19",19,2,7.3,4.5,3,4.7,4.2,2.4,0.7,0,0,0,0,0,0,0,0,0
"20",20,2,7.3,5.5,2,3.2,2.9,1,0,0,0,0,0,0,0,0,0,0
"21",21,2,7.3,6.5,1,1.8,1.6,0,0,0,0,0,0,0,0,0,0,0
"22",22,2,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",23,3,11.9,0,10,25.5,24.7,22.1,19.1,16.9,14,11.6,9.8,7,4.2,1.3,0,0
"24",24,3,11.9,1.3,9,16.5,15.8,14.3,13,11.9,10.6,8.7,7,4.5,2.3,0,0,0
"25",25,3,11.9,2.6,8,15,14.3,12.6,11.1,9.7,8.2,6,4.4,2.2,0,0,0,0
"26",26,3,11.9,3.6,7,14,13.3,11.5,9.6,8.1,6.5,4.8,3.1,0,0,0,0,0
"27",27,3,11.9,5.6,6,12,11.1,9.4,7.4,6,4.3,1.1,0,0,0,0,0,0
"28",28,3,11.9,7.6,5,8.3,7.8,6,4.6,3.1,1.4,0,0,0,0,0,0,0
"29",29,3,11.9,9.6,3,4.4,3.9,2.6,1.3,0,0,0,0,0,0,0,0,0
"30",30,3,11.9,11.6,1,1.1,0.9,0,0,0,0,0,0,0,0,0,0,0
"31",31,3,11.9,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,4,10,0,11,15.55,14.35,13.3,12.25,10.95,9.55,7.95,6.3,5.1,3.5,2.3,1.1,0
"33",33,4,10,0.5,10,12.1,11.25,10.25,9.45,8.2,7.2,6.2,5.2,3.9,2.5,1.3,0,0
"34",34,4,10,1.3,10,11.2,10.6,9.8,8.8,7.85,6.75,5.95,4.2,3.4,2.5,1.25,0,0
"35",35,4,10,1.5,10,11,10.3,9.45,8.65,7.75,6.75,5.7,4.55,3.65,2.4,1.15,0,0
"36",36,4,10,2.5,9,10.65,9.8,8.9,7.75,6.5,5.4,4.25,2.95,2.15,1.35,0,0,0
"37",37,4,10,3.5,8,10.05,9.3,8.4,7.35,6.4,5,3.65,2.6,1.6,0,0,0,0
"38",38,4,10,4.5,7,9.4,8.5,7.65,6.7,5.75,4.75,3.6,2.1,0,0,0,0,0
"39",39,4,10,5.5,6,8,7.2,6,4.9,3.8,2.5,1.45,0,0,0,0,0,0
"40",40,4,10,6.5,5,6.4,5.9,5.1,4.15,3.1,1.95,0,0,0,0,0,0,0
"41",41,4,10,7.5,4,4.75,4.35,3.55,2.6,1.35,0,0,0,0,0,0,0,0
"42",42,4,10,8.5,3,3.1,2.85,1.75,1.45,0,0,0,0,0,0,0,0,0
"43",43,4,10,9.5,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0
"44",44,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,5,6,0,12,6.6,5.85,4.95,4.15,3.37,2.57,1.4,0,0,0,0,0,0
"46",46,5,6,0.5,11,6.05,5.25,4.5,3.88,3.03,2.28,1.4,0,0,0,0,0,0
"47",47,5,6,1.3,11,5.5,4.75,4.3,3.6,2.6,1.8,1,0,0,0,0,0,0
"48",48,5,6,1.5,11,5.2,4.6,4.15,3.4,2.4,1.6,0.85,0,0,0,0,0,0
"49",49,5,6,2.5,9,4.4,3.9,3.4,2.9,2.1,1.2,0,0,0,0,0,0,0
"50",50,5,6,3.5,7,3.5,3.1,2.5,1.9,1,0,0,0,0,0,0,0,0
"51",51,5,6,4.5,5,2.85,2.1,1.5,0.6,0,0,0,0,0,0,0,0,0
"52",52,5,6,5.5,2,1.4,0.7,0,0,0,0,0,0,0,0,0,0,0
"53",53,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",54,6,8.5,0,12,10.35,9.75,8.9,8.4,6.6,4.45,1.6,0,0,0,0,0,0
"55",55,6,8.5,0.5,11,9.65,9.25,8.35,7.45,5.95,3.05,0.8,0,0,0,0,0,0
"56",56,6,8.5,1.3,10,8.75,8.3,7.35,6.2,4.4,2.4,0,0,0,0,0,0,0
"57",57,6,8.5,1.5,9,8.65,8.2,7.45,5.65,4.25,1.9,0,0,0,0,0,0,0
"58",58,6,8.5,2.5,8,7.8,7.45,6.45,4.75,2.7,0,0,0,0,0,0,0,0
"59",59,6,8.5,3.5,7,6.9,6.6,5.15,3.85,0.9,0,0,0,0,0,0,0,0
"60",60,6,8.5,4.5,6,6,5.65,4.35,2.5,0,0,0,0,0,0,0,0,0
